mode,length,batch,repetition,status,ttft_ms,mean_decode_ms,tpot_steady_ms,tpot_boundary_ms,output_tokens_per_s,peak_memory_bytes,max_used_pages,free_pages_after,expected_free_pages,new_captures
eager,4096,1,-1,warmup,392.2330606728792,33.795987651866724,33.64519147934126,34.9219324067235,27.32509680026527,72255368704,2052,208508,208508,0
eager,4096,1,0,pass,397.4872985854745,33.138022134740524,33.03289774339646,33.92295092344284,27.789700226393496,72255368704,2052,208508,208508,0
eager,4096,1,1,pass,392.27704145014286,32.6184404309927,32.50563997010301,33.460683872302376,28.22601420872722,72255368704,2052,208508,208508,0
eager,4096,1,2,pass,431.0053000226617,34.09719555162069,34.00197377361889,34.80818482736746,26.883108446832814,72255368704,2052,208508,208508,0
eager,4096,1,3,pass,384.55788791179657,34.96547595517138,34.8379234949659,35.917867658038936,26.52751730214469,72255368704,2052,208508,208508,0
eager,4096,1,4,pass,387.64441199600697,34.52927991747856,34.419883425081416,35.34610706071059,26.81824679545131,72255368704,2052,208508,208508,0
graph,4096,1,-1,warmup,388.2184633985162,15.208286247912824,15.072921083109188,16.219012811779976,55.180100183743704,72278473728,2052,208508,208508,0
graph,4096,1,0,pass,375.0084266066551,14.982449213468184,14.874609137353088,15.787655115127563,56.19497335627565,72278473728,2052,208508,208508,0
graph,4096,1,1,pass,373.60032368451357,15.017761232874056,14.914766477886587,15.786788736780485,56.11918514740819,72278473728,2052,208508,208508,0
graph,4096,1,2,pass,374.77187532931566,15.595796415362301,15.489084695998047,16.39257725328207,54.34219291610355,72278473728,2052,208508,208508,0
graph,4096,1,3,pass,375.7812827825546,15.638011361024981,15.523399941490165,16.493776626884937,54.19566460806313,72278473728,2052,208508,208508,0
graph,4096,1,4,pass,373.8044323399663,15.51296320692526,15.391622354010385,16.41897490868966,54.60856530346309,72278473728,2052,208508,208508,0
eager,16384,1,-1,warmup,2305.7235134765506,34.99604510070067,34.84468905454768,36.12617024530967,18.962300325062234,72252753408,4488,208473,208473,0
eager,16384,1,0,pass,2304.180874489248,34.346838349725786,34.24995859885322,35.07020715624094,19.20123397502095,72252753408,4488,208473,208473,0
eager,16384,1,1,pass,2345.1983323320746,35.86757016610208,35.824544445079354,36.18882888307174,18.549688898239673,72252753408,4488,208473,208473,0
eager,16384,1,2,pass,2304.470354691148,36.25854750816512,36.13566077547148,37.176101778944336,18.525716182810747,72252753408,4488,208473,208473,0
eager,16384,1,3,pass,2305.732344277203,35.13117741764061,35.05221489051889,35.72076428681612,18.91420837959959,72252753408,4488,208473,208473,0
eager,16384,1,4,pass,2304.6161802485585,34.951260379390924,34.85800930398649,35.647535075743995,18.981427487208865,72252753408,4488,208473,208473,0
graph,16384,1,-1,warmup,2313.337435014546,19.280344834477884,19.168931026277797,20.112234602371853,26.879748305507928,72290964480,4488,208473,208473,0
graph,16384,1,0,pass,2304.351161234081,19.14623874701618,19.039442463378823,19.943650998175144,27.02743065186347,72290964480,4488,208473,208473,0
graph,16384,1,1,pass,2303.056852892041,19.09797092327687,18.98913865443319,19.910585197309654,27.069865265225225,72290964480,4488,208473,208473,0
graph,16384,1,2,pass,2303.914970718324,19.109261684178367,18.99847127164581,19.936496764421463,27.05675245528467,72290964480,4488,208473,208473,0
graph,16384,1,3,pass,2304.2184421792626,19.110862715683115,19.002799185857707,19.91773707171281,27.053854316385877,72290964480,4488,208473,208473,0
graph,16384,1,4,pass,2303.887441754341,19.176615438768714,19.06757181443806,19.990807833770912,27.008075695427852,72290964480,4488,208473,208473,0
eager,65536,1,-1,warmup,20998.658332042396,42.93796127500731,42.770552415666835,44.18794742474953,4.838990966390846,72247783424,14039,208331,208331,0
eager,65536,1,0,pass,20982.308414764702,42.834772765049784,42.74193886002259,43.52793258925279,4.844385856671902,72247783424,14039,208331,208331,0
eager,65536,1,1,pass,20987.91135288775,42.48780098663071,42.41109062318823,43.06057170033455,4.851449134647962,72247783424,14039,208331,208331,0
eager,65536,1,2,pass,20991.354955360293,41.54277312767318,41.44765849923715,42.25296235332886,4.8729805040072875,72247783424,14039,208331,208331,0
eager,65536,1,3,pass,21012.12403923273,43.04523542376719,42.9472633072042,43.77676056077083,4.834041818614609,72247783424,14039,208331,208331,0
eager,65536,1,4,pass,21000.501406379044,42.379983180151214,42.29115135136193,43.04326083511114,4.851651842826435,72247783424,14039,208331,208331,0
graph,65536,1,-1,warmup,20985.255568288267,34.42941167516502,34.32249968006675,35.22768790523211,5.047756072738395,72345157632,14039,208331,208331,0
graph,65536,1,0,pass,20983.943526633084,34.416143687104615,34.320344366798444,35.13144527872404,5.048353310403157,72345157632,14039,208331,208331,0
graph,65536,1,1,pass,20983.82540885359,34.33161208362091,34.223098415947916,35.1418474689126,5.050515965663245,72345157632,14039,208331,208331,0
graph,65536,1,2,pass,20995.939183048904,34.288520565417805,34.17803352099976,35.11349049707254,5.0491930045002285,72345157632,14039,208331,208331,0
graph,65536,1,3,pass,20982.347924262285,34.29149737302947,34.18334665808028,35.09902271131674,5.051825640991807,72345157632,14039,208331,208331,0
graph,65536,1,4,pass,20987.144325859845,34.44249599468051,34.33490903781993,35.2458119392395,5.047050815166483,72345157632,14039,208331,208331,0
