ticket,git_sha,baseline_id,case_id,backend,mode,input_tokens,output_tokens,concurrency,repetition,status,ttft_ms,tpot_steady_ms,tpot_boundary_ms,output_tokens_per_s,peak_memory_bytes,active_kv_bytes,allocated_kv_pool_bytes,load_ms,compile_capture_ms,reason
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-32768,transformers,offline,32768,128,1,4,pass,3795.170744881034,40.43151324315529,47.42327400793632,14.167364081914736,16758761984,,,1580.4138332605362,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-65536,transformers,offline,65536,128,1,-1,warmup,12455.75200393796,58.97942952911502,62.97507217774788,6.398056848117243,25319675392,,,2274.6966211125255,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-65536,transformers,offline,65536,128,1,0,pass,11128.03708203137,58.76195618683206,62.85216218481461,6.862476493576536,25319675392,,,2274.6966211125255,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-65536,transformers,offline,65536,128,1,1,pass,11129.320103675127,58.66566284592928,62.755050572256245,6.866510702447346,25319675392,,,2274.6966211125255,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-65536,transformers,offline,65536,128,1,2,pass,11125.627098605037,58.67838253366894,62.8541961312294,6.866798476696458,25319675392,,,2274.6966211125255,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-65536,transformers,offline,65536,128,1,3,pass,11139.907161705196,58.70157975004986,62.84947972744703,6.860612505471733,25319675392,,,2274.6966211125255,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-65536,transformers,offline,65536,128,1,4,pass,11126.156760379672,58.66373720346019,62.75080069899559,6.867779083131068,25319675392,,,2274.6966211125255,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-130944,transformers,offline,130944,128,1,-1,warmup,39963.99004012346,92.61677775897884,96.57811137537162,2.471722871465799,42428233216,,,1640.0381308048964,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-130944,transformers,offline,130944,128,1,0,pass,36295.589295215905,92.43233152665198,96.44408654421568,2.6614174795408116,42428159488,,,1640.0381308048964,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-130944,transformers,offline,130944,128,1,1,pass,36299.53204188496,92.60659412081752,96.70702790220578,2.6599018711248914,42428159488,,,1640.0381308048964,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-130944,transformers,offline,130944,128,1,2,pass,36300.86739175022,92.61040053596454,96.62892371416092,2.6598692540036932,42428159488,,,1640.0381308048964,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-130944,transformers,offline,130944,128,1,3,pass,36299.337577074766,92.41779506971527,96.57781813293695,2.6611891688941998,42428159488,,,1640.0381308048964,,KV pages unavailable; rep=-1 includes cold compilation.
T00,0eea77a7ba216dfc79bf5d145ccf3ce76dd927da,T00-305bf8f9dc429f1af60e,length-130944,transformers,offline,130944,128,1,4,pass,36296.68352473527,92.39013101406661,96.53662002334993,2.6615416741765396,42428159488,,,1640.0381308048964,,KV pages unavailable; rep=-1 includes cold compilation.
