mode,length,batch,repetition,status,ttft_ms,mean_decode_ms,tpot_steady_ms,tpot_boundary_ms,output_tokens_per_s,peak_memory_bytes,max_used_pages,free_pages_after,expected_free_pages,new_captures
eager,16384,1,-1,warmup,2304.4169479981065,34.694332519443485,34.544839199432836,35.81054930885633,19.07428449365227,72252753408,4488,208473,208473,0
eager,16384,1,0,pass,2304.158730432391,34.48911566345945,34.37249526281708,35.35988132158915,19.149376938719023,72252753408,4488,208473,208473,0
eager,16384,1,1,pass,2303.865143097937,34.525920402287966,34.437224085974904,35.188186230758824,19.13685782706903,72252753408,4488,208473,208473,0
eager,16384,1,2,pass,2304.0770534425974,34.714445442430616,34.60284467187843,35.54773119588693,19.067999400318506,72252753408,4488,208473,208473,0
eager,16384,1,3,pass,2303.7349553778768,34.56559026335168,34.48373604000413,35.17676846434673,19.122825347297983,72252753408,4488,208473,208473,0
eager,16384,1,4,pass,2305.0802629441023,34.25144522971525,34.152505287368385,34.990196799238525,19.2336020554498,72252753408,4488,208473,208473,0
eager,4096,1,-1,warmup,373.6201375722885,32.64700421902138,32.48140025451513,33.883513820668064,28.319863502691323,72255368704,2052,208508,208508,0
eager,4096,1,0,pass,412.9332657903433,33.69163201872524,33.5256257842827,34.93114523589611,27.281743861583916,72255368704,2052,208508,208508,0
eager,4096,1,1,pass,387.3367290943861,33.45095884700225,33.36561210952433,34.08821448683739,27.612306884664438,72255368704,2052,208508,208508,0
eager,4096,1,2,pass,386.824662797153,33.34657252421529,33.24601742705064,34.09738391637802,27.694567189761347,72255368704,2052,208508,208508,0
eager,4096,1,3,pass,387.16214150190353,33.39649031422739,33.307499401936575,34.06095579266548,27.654609983172268,72255368704,2052,208508,208508,0
eager,4096,1,4,pass,387.3540284112096,33.11023175511069,33.00478300246011,33.897582441568375,27.872386243985044,72255368704,2052,208508,208508,0
eager,65536,1,-1,warmup,20987.078114412725,43.265036468606766,43.10023006317871,44.49559096246958,4.833517515479929,72247783424,14039,208331,208331,0
eager,65536,1,0,pass,20982.042053714395,42.85883137912262,42.76353684586606,43.57036389410496,4.8438752794505096,72247783424,14039,208331,208331,0
eager,65536,1,1,pass,20980.785945430398,42.36462369091868,42.255588175196735,43.17875554164251,4.855639679485052,72247783424,14039,208331,208331,0
eager,65536,1,2,pass,20978.59609592706,43.04049763916515,42.93756955303252,43.809027348955475,4.840281036359621,72247783424,14039,208331,208331,0
eager,65536,1,3,pass,20981.939733028412,43.02813760994926,42.92891054813351,43.76903300484022,4.839956365804596,72247783424,14039,208331,208331,0
eager,65536,1,4,pass,20991.245944984257,42.526608303658605,42.437488928304184,43.192032972971596,4.849930279111833,72247783424,14039,208331,208331,0
graph,16384,1,-1,warmup,2314.3682219088078,19.178839033748222,19.071858051964746,19.977630364398163,26.94682397119634,72290964480,4488,208473,208473,0
graph,16384,1,0,pass,2307.4811343103647,18.928796969588817,18.82507126512272,19.703282229602337,27.167881312111007,72290964480,4488,208473,208473,0
graph,16384,1,1,pass,2356.3661221414804,19.467634904220347,19.360558978015824,20.267135153214138,26.50783993455723,72290964480,4488,208473,208473,0
graph,16384,1,2,pass,2307.3811447247863,19.111799743525157,19.004590185691736,19.912297775348026,27.035106267086075,72290964480,4488,208473,208473,0
graph,16384,1,3,pass,2306.2557196244597,19.12608717780883,19.01669691350045,19.942867817978065,27.03116675327025,72290964480,4488,208473,208473,0
graph,16384,1,4,pass,2304.9020310863853,19.1346712293118,19.026054368753517,19.945677121480305,27.03267296994489,72290964480,4488,208473,208473,0
graph,4096,1,-1,warmup,388.01207579672337,15.230384904627256,15.124869832236852,16.0182307784756,55.11831944870077,72278473728,2052,208508,208508,0
graph,4096,1,0,pass,374.82393719255924,15.28135577114079,15.169488756717849,16.116629478832085,55.27817182390337,72278473728,2052,208508,208508,0
graph,4096,1,1,pass,374.2277482524514,15.234304548013867,15.13479443799172,15.977313369512558,55.435513747893076,72278473728,2052,208508,208508,0
graph,4096,1,2,pass,375.4973476752639,15.26599263728369,15.16136951977387,16.047178581357002,55.308712200316606,72278473728,2052,208508,208508,0
graph,4096,1,3,pass,374.42953512072563,15.16620079275426,15.063613062790994,15.932189176479975,55.63906903014666,72278473728,2052,208508,208508,0
graph,4096,1,4,pass,375.13800989836454,15.177443366879084,15.07113896410114,15.971182907621065,55.587459189610485,72278473728,2052,208508,208508,0
graph,65536,1,-1,warmup,20998.849648982286,34.84159237961835,34.740325786905096,35.59771627187729,5.034663947644536,72345157632,14039,208331,208331,0
graph,65536,1,0,pass,21041.705531068146,34.52655786692392,34.42497597175783,35.28503601749738,5.034100759776036,72345157632,14039,208331,208331,0
graph,65536,1,1,pass,20988.672592677176,34.86755370771087,34.76717531780845,35.61704568564892,5.036027614548491,72345157632,14039,208331,208331,0
graph,65536,1,2,pass,20985.847894102335,34.83746694327574,34.73295791939433,35.61780098825693,5.037344792521278,72345157632,14039,208331,208331,0
graph,65536,1,3,pass,20989.235653541982,34.915414675483554,34.813768829085994,35.674370328585304,5.034712125968995,72345157632,14039,208331,208331,0
graph,65536,1,4,pass,20987.478898838162,34.84467458801242,34.74294174728649,35.60427979876598,5.036839904474142,72345157632,14039,208331,208331,0
