job,backend,repetition,status,ttft_ms,mean_decode_ms,tpot_steady_ms,tpot_boundary_ms,output_tokens_per_s,peak_memory_bytes,new_captures,max_used_pages,free_pages_after,expected_free_pages
graph-130944-1,vllm,0,pass,72642.42864307016,54.476947259656555,54.329607527636526,55.577083925406136,1.6088282407149317,72417398784,0,26265,208150,208150
graph-130944-1,vllm,1,pass,72637.17432972044,54.34116458622959,54.217920081490384,55.261390221615635,1.6092833825083035,72417398784,0,26265,208150,208150
graph-130944-1,vllm,2,pass,72641.65361225605,54.5618856604409,54.46485459937581,55.28638424972693,1.6086258774137643,72417398784,0,26265,208150,208150
graph-130944-1,vllm,3,pass,72651.25606395304,54.5555734640266,54.451452526596505,55.33300979683796,1.6084479929424556,72417398784,0,26265,208150,208150
graph-130944-1,vllm,4,pass,72648.27583357692,54.524239445999854,54.42310225251796,55.27939715733131,1.6085886546766859,72417398784,0,26265,208150,208150
graph-16384-1,vllm,0,pass,2301.907234825194,19.119817389571292,19.01383006978514,19.911189377307892,27.06056738116135,72290964480,0,4488,208473,208473
graph-16384-1,vllm,1,pass,2303.581547923386,19.091195720211257,18.985851651190647,19.877764768898487,27.07179230120757,72290964480,0,4488,208473,208473
graph-16384-1,vllm,2,pass,2303.9257107302547,19.146627350527,19.043414346275053,19.917284448941547,27.029577783005777,72290964480,0,4488,208473,208473
graph-16384-1,vllm,3,pass,2303.8122951984406,19.130250131051373,19.023094900018936,19.93034252276023,27.042105422781844,72290964480,0,4488,208473,208473
graph-16384-1,vllm,4,pass,2304.5942932367325,19.113519720322504,19.006987792506283,19.908958114683628,27.049778931331574,72290964480,0,4488,208473,208473
graph-16384-4,vllm,0,pass,6006.113601382822,70.27019168191596,70.67186243200142,67.27105008127789,33.89046057906194,72506671104,0,15220,208332,208332
graph-16384-4,vllm,1,pass,6005.454980302602,70.37861677121342,70.78163755691743,67.36939490462343,33.859884483430534,72506671104,0,15220,208332,208332
graph-16384-4,vllm,2,pass,6006.736966082826,70.40595022895498,70.80854858629338,67.39988249416153,33.83849601881151,72506671104,0,15220,208332,208332
graph-16384-4,vllm,3,pass,6012.560774572194,70.73955676210385,71.13629396813589,67.77725229039788,33.739882102580246,72506671104,0,15220,208332,208332
graph-16384-4,vllm,4,pass,6009.335822425783,70.9172626462303,71.29172773316635,68.12125666377445,33.696673306827435,72506671104,0,15220,208332,208332
graph-16384-8,vllm,0,pass,11017.341097118333,134.30483773713712,134.35906896899854,133.89991120590517,35.72741696171785,72596199424,0,29083,206461,206461
graph-16384-8,vllm,1,pass,11016.49032428395,134.35822372475096,134.41009005743712,133.97095510736108,35.7208603132553,72596199424,0,29083,206461,206461
graph-16384-8,vllm,2,pass,11015.745082404464,134.55945463011437,134.61189481936995,134.16790121700615,35.6889865938079,72596199424,0,29083,206461,206461
